symbol,total_pnl,trades,avg_pnl,avg_rr,longs,wins,losses,winrate
APTUSDT,4.91,22,0.22,2.22,9,11.0,11.0,50.0
ADAUSDT,4.82,15,0.32,2.16,5,9.0,6.0,60.0
AXSUSDT,4.36,14,0.31,2.27,3,8.0,6.0,57.1
ETHUSDT,2.38,8,0.3,2.24,5,4.0,4.0,50.0
AXLUSDT,2.34,8,0.29,2.55,4,4.0,4.0,50.0
HBARUSDT,2.21,23,0.1,2.15,8,9.0,14.0,39.1
UNIUSDT,2.06,14,0.15,2.24,8,6.0,8.0,42.9
AAVEUSDT,2.01,17,0.12,2.19,6,7.0,10.0,41.2
DOTUSDT,1.88,14,0.13,2.29,3,6.0,8.0,42.9
SUIUSDT,1.81,8,0.23,2.13,4,4.0,4.0,50.0
LINKUSDT,1.78,21,0.08,2.19,11,8.0,13.0,38.1
KITEUSDT,0.79,2,0.4,2.94,2,1.0,1.0,50.0
ARBUSDT,0.75,17,0.04,2.16,4,6.0,11.0,35.3
WETUSDT,0.73,1,0.73,1.82,0,1.0,,100.0
OPUSDT,0.72,14,0.05,2.22,8,5.0,9.0,35.7
1000PEPEUSDT,0.69,3,0.23,2.06,1,1.0,1.0,33.3
SIRENUSDT,0.31,2,0.15,2.04,0,1.0,1.0,50.0
ASTERUSDT,0.3,2,0.15,1.74,0,1.0,1.0,50.0
ATOMUSDT,0.19,6,0.03,2.29,1,2.0,4.0,33.3
FARTCOINUSDT,0.06,5,0.01,1.88,0,2.0,3.0,40.0
BNBUSDT,0.01,12,0.0,2.38,8,4.0,8.0,33.3
ARCUSDT,-0.02,3,-0.01,1.83,0,1.0,2.0,33.3
LTCUSDT,-0.02,25,-0.0,2.21,11,8.0,17.0,32.0
XAUTUSDT,-0.04,3,-0.01,2.32,1,1.0,2.0,33.3
TAOUSDT,-0.08,10,-0.01,2.35,5,3.0,7.0,30.0
BTCUSDT,-0.11,9,-0.01,2.18,4,3.0,6.0,33.3
PUMPFUNUSDT,-0.3,5,-0.06,2.45,1,1.0,2.0,20.0
SOLUSDT,-0.52,7,-0.07,2.25,2,2.0,5.0,28.6
VIRTUALUSDT,-0.55,4,-0.14,2.22,0,1.0,3.0,25.0
DOGEUSDT,-0.57,13,-0.04,2.08,5,4.0,9.0,30.8
BCHUSDT,-0.68,10,-0.07,1.9,5,3.0,7.0,30.0
ENSOUSDT,-0.79,2,-0.4,1.98,0,,2.0,
BARDUSDT,-0.82,2,-0.41,1.7,0,,2.0,
HYPEUSDT,-1.07,9,-0.12,2.51,5,2.0,7.0,22.2
WIFUSDT,-1.09,10,-0.11,2.38,2,2.0,8.0,20.0
ENAUSDT,-1.21,7,-0.17,2.35,2,1.0,6.0,14.3
AVAXUSDT,-1.55,7,-0.22,2.31,4,1.0,6.0,14.3
XRPUSDT,-1.6,7,-0.23,2.04,4,1.0,6.0,14.3
NEARUSDT,-2.6,20,-0.13,2.32,10,4.0,16.0,20.0
FILUSDT,-3.32,9,-0.37,2.08,4,,9.0,
