symbol,entry_price,exit_price,RR,PnL,trade_duration,entry_type,confidence
1000PEPEUSDT,0.0013,0.0012493020000046984,100.0,0.005810220262191753,30.0,zone,5.0
1000PEPEUSDT,0.0016,0.0016331979999969235,100.0,0.0037672218529370706,45.0,momentum,3.0
1000PEPEUSDT,0.0009,0.0008837029999997434,100.0,0.0024349615901315953,45.0,zone,4.0
1000PEPEUSDT,0.0012,0.0012342,100.0,0.0021017570659839966,60.0,momentum,3.5
1000PEPEUSDT,0.0013,0.0012607020000036419,100.0,0.0022692183068197913,30.0,momentum,3.0
1000PEPEUSDT,0.0007,0.0006628029999994143,100.0,0.00273798699498585,30.0,zone,3.5
OPUSDT,3.0204,1.8750000000000036,23.0,287.57694935632173,180.0,momentum,4.0
ARBUSDT,1.4285,0.9115000000000033,22.0,129.80380899006275,180.0,momentum,4.0
HBARUSDT,0.1552,0.1362,19.0,102.55802477099887,540.0,momentum,3.0
DOGEUSDT,0.2418,0.18779,17.422580645161172,150.22652446694755,1020.0,momentum,3.0
DOGEUSDT,0.3198,0.38874,16.032558139534995,157.04196586286815,180.0,zone,3.5
HBARUSDT,0.1062,0.0710000000000001,16.0,8.837706144004303,180.0,momentum,4.0
SOLUSDT,19.8626,13.787400000000005,16.0,62.732110821904485,180.0,zone,3.5
HBARUSDT,0.1079,0.0898999999999999,15.0,278.22719781966066,480.0,zone,4.0
HBARUSDT,0.1748,0.2364,14.66666666666663,358.8690977568897,360.0,zone,3.5
AXSUSDT,11.74,10.314800000000014,14.0,16.063341467062575,480.0,momentum,4.0
HBARUSDT,0.1569,0.22550000000000023,14.0,376.70900667792785,300.0,zone,5.0
LTCUSDT,98.8,75.01000000000002,13.0,326.39255645470524,240.0,momentum,3.0
AAVEUSDT,177.5404,216.35580000000016,13.0,5410.52834273503,180.0,momentum,3.0
ADAUSDT,0.7651,0.6028,12.984000000000046,451.43056695029804,780.0,momentum,3.0
